experiment_num,scheduler_name,mode,n,duplicated_tasks,makespan
16,cpop,bottom-n,2,"7,5",5.892531990251815
16,cpop,bottom-n,3,"7,5,6",5.961208862058364
16,cpop,bottom-n,4,"7,5,6,3",5.961208862058364
16,cpop,bottom-n,5,"7,5,6,3,2",6.596608164345501
17,heft,top-n,0,,4.088540225080603
17,heft,top-n,1,0,3.269555210236275
17,heft,top-n,2,"0,6",3.269555210236275
17,heft,top-n,3,"0,6,1",4.088540225080603
17,heft,top-n,4,"0,6,1,2",4.046140994816228
17,heft,top-n,5,"0,6,1,2,4",4.088540225080603
17,heft,bottom-n,0,,4.088540225080603
17,heft,bottom-n,1,7,4.393616977792904
17,heft,bottom-n,2,"7,3",4.393616977792904
17,heft,bottom-n,3,"7,3,5",4.393616977792904
17,heft,bottom-n,4,"7,3,5,4",4.623737939677389
17,heft,bottom-n,5,"7,3,5,4,2",4.7779374425793755
17,cpop,top-n,0,,3.958490655007016
17,cpop,top-n,1,0,3.958490655007016
17,cpop,top-n,2,"0,6",3.958490655007016
17,cpop,top-n,3,"0,6,1",3.958490655007016
17,cpop,top-n,4,"0,6,1,2",4.111369832770714
17,cpop,top-n,5,"0,6,1,2,4",4.070758025455256
17,cpop,bottom-n,0,,3.958490655007016
17,cpop,bottom-n,1,7,4.088540226027284
17,cpop,bottom-n,2,"7,3",4.088540226027284
17,cpop,bottom-n,3,"7,3,5",4.088540226027284
17,cpop,bottom-n,4,"7,3,5,4",4.485653486179807
17,cpop,bottom-n,5,"7,3,5,4,2",4.485653486179807
18,heft,top-n,0,,4.994104975856109
18,heft,top-n,1,0,4.994104975856109
18,heft,top-n,2,"0,6",4.994104975856109
18,heft,top-n,3,"0,6,4",6.597502676127721
18,heft,top-n,4,"0,6,4,1",7.4710635224154425
18,heft,top-n,5,"0,6,4,1,2",6.597502676127721
18,heft,bottom-n,0,,4.994104975856109
18,heft,bottom-n,1,7,8.812917591288267
18,heft,bottom-n,2,"7,3",10.281212517201729
18,heft,bottom-n,3,"7,3,5",10.281212517201729
18,heft,bottom-n,4,"7,3,5,2",10.281212517201729
18,heft,bottom-n,5,"7,3,5,2,1",10.281212517201729
18,cpop,top-n,0,,7.8976064815254405
18,cpop,top-n,1,0,7.8976064815254405
18,cpop,top-n,2,"0,6",5.559042168263028
18,cpop,top-n,3,"0,6,4",5.950667008370308
18,cpop,top-n,4,"0,6,4,1",5.950667008370308
18,cpop,top-n,5,"0,6,4,1,2",6.532497343474115
18,cpop,bottom-n,0,,7.8976064815254405
18,cpop,bottom-n,1,7,8.21308784620415
18,cpop,bottom-n,2,"7,3",8.21308784620415
18,cpop,bottom-n,3,"7,3,5",8.21308784620415
